epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1101.26,1.55337,1.58299,1.62286,0.50518,0.60414,0.57083,0.25175,1.85724,1.69226,1.96994,0.007921,0.007921,0.007921
44,1125.63,1.54423,1.61651,1.6157,0.67771,0.17395,0.17511,0.06733,2.46861,3.75691,2.84306,0.0078715,0.0078715,0.0078715
45,1150.06,1.54486,1.60735,1.60651,0.52939,0.53973,0.56829,0.25225,1.83041,1.67729,1.97046,0.007822,0.007822,0.007822
46,1174.36,1.50327,1.56631,1.59925,0.34464,0.42391,0.34567,0.14128,2.17572,2.37516,2.31527,0.0077725,0.0077725,0.0077725
47,1198.76,1.53813,1.59913,1.62983,0.59864,0.16476,0.11289,0.04695,2.70248,4.52916,3.10264,0.007723,0.007723,0.007723
48,1223.05,1.53681,1.59724,1.62356,0.47009,0.44029,0.48665,0.22405,1.85244,1.99577,2.01088,0.0076735,0.0076735,0.0076735
49,1247.31,1.53306,1.57136,1.60818,0.61534,0.52648,0.5997,0.28601,1.76596,1.69691,1.94205,0.007624,0.007624,0.007624
50,1272.05,1.50614,1.5369,1.57912,0.53155,0.39255,0.44744,0.19789,2.02739,2.10623,2.15658,0.0075745,0.0075745,0.0075745
51,1296.11,1.5056,1.53127,1.5884,0.68639,0.47177,0.54197,0.23267,1.94378,1.89144,2.04471,0.007525,0.007525,0.007525
52,1320.98,1.51317,1.56701,1.59335,0.43036,0.40108,0.4646,0.19703,1.96907,1.99493,2.13925,0.0074755,0.0074755,0.0074755
53,1346.72,1.50365,1.55168,1.58379,0.4186,0.57651,0.52749,0.23915,1.84075,1.79055,1.98721,0.007426,0.007426,0.007426
54,1371.53,1.53045,1.56202,1.59139,0.53252,0.47055,0.51518,0.22508,1.93352,1.8482,2.0692,0.0073765,0.0073765,0.0073765
55,1395.63,1.49812,1.54848,1.56766,0.4713,0.59488,0.54889,0.23854,1.8962,1.84457,2.00412,0.007327,0.007327,0.007327
56,1420.17,1.52531,1.53451,1.60252,0.64627,0.13481,0.13642,0.05069,2.58518,3.93151,2.9807,0.0072775,0.0072775,0.0072775
