epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2189.9,1.55769,1.68865,1.67072,0.3259,0.4751,0.32082,0.1447,2.02087,2.35406,2.08534,0.007921,0.007921,0.007921
44,2240.22,1.57543,1.70849,1.67943,0.65303,0.34593,0.42074,0.1956,1.90865,1.99831,1.98949,0.0078715,0.0078715,0.0078715
45,2290.48,1.5544,1.68207,1.66584,0.46464,0.06904,0.06593,0.02661,2.71476,4.88373,2.96661,0.007822,0.007822,0.007822
46,2340.56,1.55003,1.66209,1.65411,0.32217,0.45803,0.37845,0.16809,2.01357,2.21555,2.10807,0.0077725,0.0077725,0.0077725
47,2390.77,1.54962,1.66337,1.67415,0.38623,0.45262,0.43096,0.18853,1.93253,1.96451,2.04078,0.007723,0.007723,0.007723
48,2440.75,1.52525,1.66495,1.64684,0.41672,0.53925,0.49128,0.23343,1.88081,2.00327,1.9955,0.0076735,0.0076735,0.0076735
49,2491.12,1.55393,1.69068,1.70423,0.6038,0.4468,0.47163,0.21574,1.90375,1.93416,2.05373,0.007624,0.007624,0.007624
50,2541.06,1.56061,1.67565,1.66407,0.42609,0.65417,0.54188,0.25581,1.83022,1.93958,1.94624,0.0075745,0.0075745,0.0075745
51,2593.86,1.5352,1.6262,1.64359,0.52376,0.42454,0.41333,0.18703,1.95379,2.07895,2.02933,0.007525,0.007525,0.007525
52,2643.93,1.55015,1.64814,1.65659,0.60951,0.42046,0.504,0.24111,1.91133,1.84718,2.00584,0.0074755,0.0074755,0.0074755
53,2694.32,1.50499,1.61431,1.62338,0.40989,0.2655,0.23311,0.09326,2.22624,3.50761,2.52904,0.007426,0.007426,0.007426
54,2745.84,1.51758,1.61716,1.64403,0.44214,0.50694,0.48126,0.21688,1.87712,1.84519,1.98808,0.0073765,0.0073765,0.0073765
55,2795.97,1.53649,1.61396,1.63962,0.55438,0.50672,0.53525,0.26221,1.8133,1.8264,1.97457,0.007327,0.007327,0.007327
56,2848.23,1.48896,1.57291,1.6163,0.44456,0.36488,0.34587,0.13953,2.13671,2.7483,2.39833,0.0072775,0.0072775,0.0072775
57,2898.58,1.52535,1.60461,1.62688,0.26625,0.24429,0.2125,0.08359,2.23098,3.14488,2.50226,0.007228,0.007228,0.007228
58,2949.86,1.48808,1.57336,1.62412,0.46506,0.49125,0.46149,0.21411,1.9004,1.97337,2.05841,0.0071785,0.0071785,0.0071785
59,3000.08,1.46801,1.52989,1.59818,0.56194,0.38027,0.38747,0.17499,1.93402,2.38576,2.16477,0.007129,0.007129,0.007129
60,3050.32,1.50181,1.55465,1.62605,0.64662,0.51518,0.54727,0.24479,1.82063,1.80057,2.00718,0.0070795,0.0070795,0.0070795
61,3100.3,1.51966,1.56357,1.62904,0.48421,0.54971,0.5111,0.23826,1.7932,1.89573,2.01561,0.00703,0.00703,0.00703
62,3150.34,1.51468,1.56717,1.63589,0.53704,0.56004,0.53881,0.26312,1.77948,1.79097,1.99116,0.0069805,0.0069805,0.0069805
63,3201.97,1.50299,1.57466,1.62142,0.49912,0.57664,0.55731,0.26208,1.78275,1.77003,1.96122,0.006931,0.006931,0.006931
64,3251.88,1.46052,1.51382,1.59554,0.48418,0.60338,0.5681,0.26796,1.80249,1.69291,2.01336,0.0068815,0.0068815,0.0068815
65,3303.43,1.49569,1.56053,1.62917,0.40884,0.44335,0.36184,0.15691,2.04246,2.42449,2.26922,0.006832,0.006832,0.006832
66,3353.29,1.4916,1.53394,1.62234,0.33747,0.40317,0.32691,0.13466,2.14263,2.69169,2.35583,0.0067825,0.0067825,0.0067825
67,3403.15,1.47878,1.54631,1.62054,0.57812,0.56358,0.61869,0.2952,1.70028,1.6308,1.89237,0.006733,0.006733,0.006733
68,3455.51,1.45862,1.48873,1.58926,0.66252,0.53361,0.58388,0.27904,1.78075,1.66836,1.98283,0.0066835,0.0066835,0.0066835
69,3506.01,1.45304,1.50482,1.57657,0.70192,0.52797,0.63723,0.29946,1.71287,1.57864,1.93874,0.006634,0.006634,0.006634
70,3557.85,1.47539,1.51013,1.5987,0.40438,0.58106,0.47957,0.22224,1.81393,1.91405,2.03283,0.0065845,0.0065845,0.0065845
71,3608.24,1.48002,1.53737,1.6118,0.41655,0.57247,0.48738,0.21931,1.82485,2.17434,2.05422,0.006535,0.006535,0.006535
72,3658.4,1.4471,1.49069,1.58334,0.72726,0.47382,0.54033,0.24918,1.81149,1.77573,2.03106,0.0064855,0.0064855,0.0064855
73,3708.34,1.46708,1.49375,1.59921,0.52029,0.612,0.56847,0.25902,1.80553,1.73832,1.99626,0.006436,0.006436,0.006436
74,3758.34,1.46953,1.52467,1.60602,0.49981,0.60092,0.5683,0.2613,1.72205,1.67823,1.95866,0.0063865,0.0063865,0.0063865
75,3808.32,1.45087,1.48034,1.5862,0.39522,0.52003,0.38552,0.17031,2.10386,2.43401,2.36464,0.006337,0.006337,0.006337
76,3858.34,1.45358,1.47161,1.57052,0.62357,0.52647,0.5708,0.26126,1.79075,1.65112,1.98302,0.0062875,0.0062875,0.0062875
77,3908.28,1.45159,1.45944,1.58065,0.43774,0.54088,0.44555,0.18875,1.9578,2.25685,2.21501,0.006238,0.006238,0.006238
78,3958.22,1.4401,1.46117,1.58009,0.54222,0.63887,0.63372,0.30452,1.70309,1.58039,1.90133,0.0061885,0.0061885,0.0061885
79,4010.31,1.43489,1.46887,1.57375,0.49123,0.54256,0.48452,0.22777,1.9271,2.04732,2.11094,0.006139,0.006139,0.006139
80,4061.62,1.44144,1.44471,1.57184,0.44193,0.51983,0.43789,0.1926,1.93756,2.20442,2.12959,0.0060895,0.0060895,0.0060895
81,4111.83,1.41399,1.46017,1.57157,0.35257,0.43194,0.32553,0.1438,2.41121,4.04997,3.24436,0.00604,0.00604,0.00604
